Packet #,Device ID,TX Timestamp,RX Timestamp,RTT Latency [ms],Data Rate [Kbps],Response,Latest IPC Msg
1.0,901564800FA8,10:53.8,10:53.9,116.818,5.821020733,YES,0x93 0x01 0x11 0x00 0x19 0x00 0x00 0x00
1.0,901564800FA8,10:53.8,10:54.0,170.031,3.999270721,YES,0x93 0x01 0x42 0x00 0x21 0x00 0x00 0x00
1.0,901564800FA8,10:53.8,10:54.0,220.09,3.089645145,YES,0x93 0x01 0x22 0x00 0x20 0x00 0x00 0x00
1.0,901564800FA8,10:53.8,10:54.1,271.679,2.502953854,YES,0x93 0x01 0x12 0x00 0x21 0x00 0x00 0x00
1.0,901564800FA8,10:53.8,10:54.1,321.2,2.117061021,YES,0x93 0x01 0x13 0x00 0x23 0x00 0x00 0x00
1.0,901564800FA8,10:53.8,10:54.2,372.032,1.827799759,YES,0x93 0x01 0x32 0x00 0x1E 0x00 0x00 0x00
2.0,901564800FA8,10:58.8,10:58.9,128.605,5.287508262,YES,0x93 0x02 0x11 0xB2 0x1C 0x01 0x00 0x00
2.0,901564800FA8,10:58.8,10:59.0,181.131,3.754188957,YES,0x93 0x02 0x12 0xA4 0x1E 0x05 0x00 0x00
2.0,901564800FA8,10:58.8,10:59.0,231.86,2.932804278,YES,0x93 0x02 0x32 0xA7 0x1E 0x07 0x00 0x00
2.0,901564800FA8,10:58.8,10:59.1,282.883,2.403820661,YES,0x93 0x02 0x13 0xAE 0x23 0x05 0x00 0x00
2.0,901564800FA8,10:58.8,10:59.1,333.627,2.038204342,YES,0x93 0x02 0x22 0x9E 0x1F 0x06 0x00 0x00
3.0,901564800FA8,11:03.8,11:03.9,41.767,16.28079584,YES,0x93 0x03 0x13 0xAE 0x23 0x05 0x00 0x00
3.0,901564800FA8,11:03.8,11:04.3,432.759,1.571313364,YES,0x93 0x03 0x42 0xA6 0x21 0x0F 0x00 0x00
3.0,901564800FA8,11:03.8,11:04.4,596.512,1.139960303,YES,0x93 0x03 0x32 0xA8 0x1F 0x05 0x00 0x00
3.0,901564800FA8,11:03.8,11:04.5,645.429,1.053562824,YES,0x93 0x03 0x22 0x9F 0x1E 0x0F 0x00 0x00
3.0,901564800FA8,11:03.8,11:04.5,697.838,0.974438193,YES,0x93 0x03 0x11 0xB2 0x1A 0x01 0x00 0x00
3.0,901564800FA8,11:03.8,11:04.6,747.198,0.910066676,YES,0x93 0x03 0x12 0xA4 0x20 0x01 0x00 0x00
4.0,901564800FA8,11:08.8,11:08.9,56.09,12.12337315,YES,0x93 0x04 0x11 0xB2 0x1C 0x0B 0x00 0x00
4.0,901564800FA8,11:08.8,11:08.9,106.952,6.35799237,YES,0x93 0x04 0x13 0xAE 0x23 0x08 0x00 0x00
4.0,901564800FA8,11:08.8,11:09.0,157.636,4.313735441,YES,0x93 0x04 0x32 0xA7 0x1F 0x08 0x00 0x00
4.0,901564800FA8,11:08.8,11:09.0,208.365,3.263503947,YES,0x93 0x04 0x42 0xA6 0x21 0x06 0x00 0x00
4.0,901564800FA8,11:08.8,11:09.1,259.153,2.62393258,YES,0x93 0x04 0x12 0xA4 0x20 0x0A 0x00 0x00
4.0,901564800FA8,11:08.8,11:09.1,309.212,2.199138455,YES,0x93 0x04 0x22 0x9E 0x20 0x07 0x00 0x00
5.0,901564800FA8,11:13.8,11:13.9,118.764,5.725640767,YES,0x93 0x05 0x13 0xAE 0x23 0x02 0x00 0x00
5.0,901564800FA8,11:13.8,11:14.0,168.677,4.031373572,YES,0x93 0x05 0x11 0xB3 0x1A 0x01 0x00 0x00
5.0,901564800FA8,11:13.8,11:14.0,221.106,3.075447975,YES,0x93 0x05 0x32 0xA8 0x1E 0x09 0x00 0x00
5.0,901564800FA8,11:13.8,11:14.1,270.646,2.512507113,YES,0x93 0x05 0x42 0xA6 0x21 0x06 0x00 0x00
6.0,901564800FA8,11:18.8,11:19.0,130.121,5.225905119,YES,0x93 0x06 0x11 0xB3 0x19 0x0D 0x00 0x00
6.0,901564800FA8,11:18.8,11:19.0,180.39,3.769610289,YES,0x93 0x06 0x22 0x9F 0x1F 0x0F 0x00 0x00
6.0,901564800FA8,11:18.8,11:19.1,232.204,2.928459458,YES,0x93 0x06 0x42 0xA6 0x21 0x0A 0x00 0x00
6.0,901564800FA8,11:18.8,11:19.1,281.551,2.415192985,YES,0x93 0x06 0x13 0xAE 0x23 0x05 0x00 0x00
6.0,901564800FA8,11:18.8,11:19.2,334.158,2.034965495,YES,0x93 0x06 0x12 0xA4 0x21 0x0F 0x00 0x00
6.0,901564800FA8,11:18.8,11:19.2,384.126,1.770252469,YES,0x93 0x06 0x32 0xA7 0x20 0x0A 0x00 0x00
7.0,901564800FA8,11:23.8,11:24.0,145.956,4.65893831,YES,0x93 0x07 0x42 0xA6 0x21 0x02 0x00 0x00
7.0,901564800FA8,11:23.8,11:24.0,195.6,3.476482618,YES,0x93 0x07 0x32 0xA7 0x1F 0x06 0x00 0x00
7.0,901564800FA8,11:23.8,11:24.1,246.442,2.75926993,YES,0x93 0x07 0x13 0xAE 0x23 0x02 0x00 0x00
7.0,901564800FA8,11:23.8,11:24.1,297.521,2.285552953,YES,0x93 0x07 0x12 0xA4 0x21 0x04 0x00 0x00
7.0,901564800FA8,11:23.8,11:24.2,347.731,1.955534594,YES,0x93 0x07 0x22 0x9E 0x1E 0x01 0x00 0x00
8.0,901564800FA8,11:28.8,11:29.0,157.971,4.304587551,YES,0x93 0x08 0x11 0x00 0x1C 0x00 0x00 0x00
8.0,901564800FA8,11:28.8,11:29.0,207.344,3.279574041,YES,0x93 0x08 0x42 0xA6 0x21 0x01 0x00 0x00
8.0,901564800FA8,11:28.8,11:29.1,257.985,2.63581216,YES,0x93 0x08 0x32 0xA8 0x21 0x04 0x00 0x00
8.0,901564800FA8,11:28.8,11:29.1,308.67,2.202999968,YES,0x93 0x08 0x22 0x9F 0x1F 0x09 0x00 0x00
9.0,901564800FA8,11:33.8,11:33.9,67.292,10.1052131,YES,0x93 0x09 0x11 0xB2 0x19 0x07 0x00 0x00
9.0,901564800FA8,11:33.8,11:33.9,117.907,5.767257245,YES,0x93 0x09 0x12 0x00 0x1F 0x00 0x00 0x00
9.0,901564800FA8,11:33.8,11:34.0,168.516,4.035225142,YES,0x93 0x09 0x32 0xA7 0x1E 0x05 0x00 0x00
9.0,901564800FA8,11:33.8,11:34.0,218.883,3.106682566,YES,0x93 0x09 0x13 0x00 0x22 0x00 0x00 0x00
10.0,901564800FA8,11:38.8,11:38.9,78.01,8.716831175,YES,0x93 0x0A 0x12 0xA4 0x1F 0x01 0x00 0x00
10.0,901564800FA8,11:38.8,11:39.0,128.884,5.276062195,YES,0x93 0x0A 0x32 0xA8 0x1F 0x01 0x00 0x00
10.0,901564800FA8,11:38.8,11:39.0,179.12,3.796337651,YES,0x93 0x0A 0x13 0xAE 0x23 0x02 0x00 0x00
10.0,901564800FA8,11:38.8,11:39.1,229.952,2.957138881,YES,0x93 0x0A 0x42 0x00 0x21 0x00 0x00 0x00
10.0,901564800FA8,11:38.8,11:39.1,280.74,2.422169979,YES,0x93 0x0A 0x22 0x00 0x21 0x00 0x00 0x00
10.0,901564800FA8,11:38.8,11:39.2,331.267,2.052724841,YES,0x93 0x0A 0x11 0xB3 0x1B 0x01 0x00 0x00
11.0,901564800FA8,11:43.8,11:44.0,190.509,3.569385173,YES,0x93 0x0B 0x12 0xA4 0x20 0x0A 0x00 0x00
11.0,901564800FA8,11:43.8,11:44.1,240.879,2.822994117,YES,0x93 0x0B 0x13 0xAE 0x23 0x04 0x00 0x00
11.0,901564800FA8,11:43.8,11:44.1,291.635,2.331681725,YES,0x93 0x0B 0x11 0xB3 0x1C 0x0A 0x00 0x00
11.0,901564800FA8,11:43.8,11:44.2,342.438,1.985760926,YES,0x93 0x0B 0x42 0xA6 0x21 0x05 0x00 0x00
11.0,901564800FA8,11:43.8,11:44.2,393.665,1.727357017,YES,0x93 0x0B 0x22 0x9F 0x20 0x06 0x00 0x00
12.0,901564800FA8,11:48.8,11:48.9,102.96,6.604506605,YES,0x93 0x0C 0x12 0xA4 0x21 0x06 0x00 0x00
12.0,901564800FA8,11:48.8,11:49.0,152.68,4.453759497,YES,0x93 0x0C 0x42 0xA6 0x21 0x07 0x00 0x00
12.0,901564800FA8,11:48.8,11:49.0,204.508,3.325053299,YES,0x93 0x0C 0x13 0xAE 0x23 0x05 0x00 0x00
12.0,901564800FA8,11:48.8,11:49.1,253.76,2.679697352,YES,0x93 0x0C 0x11 0xB2 0x1A 0x08 0x00 0x00
12.0,901564800FA8,11:48.8,11:49.1,304.299,2.234644215,YES,0x93 0x0C 0x22 0x9E 0x1E 0x08 0x00 0x00
12.0,901564800FA8,11:48.8,11:49.2,355.483,1.912890349,YES,0x93 0x0C 0x32 0x00 0x1E 0x00 0x00 0x00
13.0,901564800FA8,11:53.8,11:53.9,113.984,5.965749579,YES,0x93 0x0D 0x42 0xA6 0x21 0x01 0x00 0x00
13.0,901564800FA8,11:53.8,11:54.0,164.648,4.130022837,YES,0x93 0x0D 0x22 0x9F 0x20 0x06 0x00 0x00
13.0,901564800FA8,11:53.8,11:54.0,215.396,3.156975988,YES,0x93 0x0D 0x13 0xAD 0x23 0x01 0x00 0x00
13.0,901564800FA8,11:53.8,11:54.1,266.472,2.55186286,YES,0x93 0x0D 0x12 0xA4 0x20 0x01 0x00 0x00
13.0,901564800FA8,11:53.8,11:54.1,316.991,2.145171314,YES,0x93 0x0D 0x11 0xB2 0x1C 0x05 0x00 0x00
13.0,901564800FA8,11:53.8,11:54.2,366.17,1.857060928,YES,0x93 0x0D 0x32 0xA6 0x21 0x07 0x00 0x00
14.0,901564800FA8,11:58.8,11:59.0,126.287,5.384560564,YES,0x93 0x0E 0x13 0xAD 0x23 0x02 0x00 0x00
14.0,901564800FA8,11:58.8,11:59.0,209.357,3.248040429,YES,0x93 0x0E 0x12 0xA4 0x20 0x04 0x00 0x00
14.0,901564800FA8,11:58.8,11:59.1,290.84,2.338055288,YES,0x93 0x0E 0x42 0xA6 0x21 0x01 0x00 0x00
14.0,901564800FA8,11:58.8,11:59.2,373.147,1.822338113,YES,0x93 0x0E 0x11 0xB2 0x19 0x06 0x00 0x00
14.0,901564800FA8,11:58.8,11:59.3,473.513,1.436074617,YES,0x93 0x0E 0x22 0x9E 0x21 0x02 0x00 0x00
14.0,901564800FA8,11:58.8,11:59.6,748.687,0.908256721,YES,0x93 0x0E 0x32 0xA8 0x20 0x06 0x00 0x00
15.0,901564800FA8,12:03.8,12:04.0,167.019,4.071393075,YES,0x93 0x0F 0x11 0xB2 0x19 0x08 0x00 0x00
15.0,901564800FA8,12:03.8,12:04.1,248.955,2.731417324,YES,0x93 0x0F 0x12 0xA4 0x1E 0x05 0x00 0x00
15.0,901564800FA8,12:03.8,12:04.2,330.491,2.057544684,YES,0x93 0x0F 0x22 0x9D 0x21 0x07 0x00 0x00
15.0,901564800FA8,12:03.8,12:04.2,413.496,1.644514094,YES,0x93 0x0F 0x42 0xA6 0x21 0x06 0x00 0x00
15.0,901564800FA8,12:03.8,12:04.3,493.23,1.378667153,YES,0x93 0x0F 0x13 0xAD 0x23 0x06 0x00 0x00
15.0,901564800FA8,12:03.8,12:04.4,574.217,1.184221296,YES,0x93 0x0F 0x32 0xA8 0x1F 0x08 0x00 0x00
16.0,901564800FA8,12:08.8,12:08.9,52.952,12.84181901,YES,0x93 0x10 0x11 0xB2 0x1B 0x01 0x00 0x00
16.0,901564800FA8,12:08.8,12:08.9,104.029,6.536638822,YES,0x93 0x10 0x22 0x9D 0x21 0x02 0x00 0x00
16.0,901564800FA8,12:08.8,12:09.0,154.791,4.393020266,YES,0x93 0x10 0x13 0xAE 0x23 0x06 0x00 0x00
16.0,901564800FA8,12:08.8,12:09.0,205.386,3.310839103,YES,0x93 0x10 0x42 0xA6 0x21 0x07 0x00 0x00
16.0,901564800FA8,12:08.8,12:09.1,256.171,2.654476892,YES,0x93 0x10 0x32 0xA6 0x1E 0x05 0x00 0x00
17.0,901564800FA8,12:13.8,12:13.9,63.366,10.73130701,YES,0x93 0x11 0x11 0xB2 0x1A 0x01 0x00 0x00
17.0,901564800FA8,12:13.8,12:13.9,115.449,5.890046687,YES,0x93 0x11 0x12 0xA4 0x1F 0x0F 0x00 0x00
17.0,901564800FA8,12:13.8,12:14.0,166.603,4.081559156,YES,0x93 0x11 0x13 0xAE 0x23 0x04 0x00 0x00
17.0,901564800FA8,12:13.8,12:14.1,217.1,3.132197144,YES,0x93 0x11 0x32 0xA4 0x21 0x0F 0x00 0x00
17.0,901564800FA8,12:13.8,12:14.1,267.769,2.539502332,YES,0x93 0x11 0x42 0xA6 0x21 0x05 0x00 0x00
17.0,901564800FA8,12:13.8,12:14.2,318.608,2.134284136,YES,0x93 0x11 0x22 0x9E 0x1E 0x01 0x00 0x00
18.0,901564800FA8,12:18.8,12:19.1,227.407,2.99023337,YES,0x93 0x12 0x12 0xA4 0x1E 0x01 0x00 0x00
18.0,901564800FA8,12:18.8,12:19.1,277.109,2.453908029,YES,0x93 0x12 0x11 0xB3 0x1A 0x01 0x00 0x00
18.0,901564800FA8,12:18.8,12:19.2,329.052,2.066542674,YES,0x93 0x12 0x32 0xA6 0x21 0x09 0x00 0x00
18.0,901564800FA8,12:18.8,12:19.2,379.582,1.791444273,YES,0x93 0x12 0x13 0xAE 0x23 0x01 0x00 0x00
18.0,901564800FA8,12:18.8,12:19.3,431.167,1.577115132,YES,0x93 0x12 0x42 0xA6 0x21 0x06 0x00 0x00
18.0,901564800FA8,12:18.8,12:19.3,480.168,1.416171007,YES,0x93 0x12 0x22 0x9E 0x20 0x08 0x00 0x00
19.0,901564800FA8,12:23.8,12:24.0,140.785,4.830060021,YES,0x93 0x13 0x11 0xB2 0x1B 0x05 0x00 0x00
19.0,901564800FA8,12:23.8,12:24.0,191.688,3.547431242,YES,0x93 0x13 0x22 0x9F 0x20 0x0A 0x00 0x00
19.0,901564800FA8,12:23.8,12:24.1,242.077,2.809023575,YES,0x93 0x13 0x42 0xA6 0x21 0x09 0x00 0x00
19.0,901564800FA8,12:23.8,12:24.1,291.589,2.332049563,YES,0x93 0x13 0x13 0xAE 0x23 0x05 0x00 0x00
19.0,901564800FA8,12:23.8,12:24.2,343.381,1.980307588,YES,0x93 0x13 0x12 0xA4 0x20 0x0A 0x00 0x00
19.0,901564800FA8,12:23.8,12:24.2,393.414,1.728459079,YES,0x93 0x13 0x32 0xA7 0x21 0x07 0x00 0x00
20.0,901564800FA8,12:28.8,12:29.0,155.052,4.385625468,YES,0x93 0x14 0x42 0xA6 0x21 0x07 0x00 0x00
20.0,901564800FA8,12:28.8,12:29.0,204.71,3.321772263,YES,0x93 0x14 0x22 0x9F 0x1F 0x01 0x00 0x00
20.0,901564800FA8,12:28.8,12:29.1,257.254,2.643301951,YES,0x93 0x14 0x12 0xA4 0x1E 0x07 0x00 0x00
20.0,901564800FA8,12:28.8,12:29.1,306.727,2.216955143,YES,0x93 0x14 0x13 0xAE 0x23 0x05 0x00 0x00
20.0,901564800FA8,12:28.8,12:29.2,359.472,1.891663328,YES,0x93 0x14 0x11 0xB3 0x1B 0x01 0x00 0x00
20.0,901564800FA8,12:28.8,12:29.2,409.178,1.661868429,YES,0x93 0x14 0x32 0xA8 0x21 0x08 0x00 0x00
21.0,901564800FA8,12:33.8,12:33.9,67.763,10.03497484,YES,0x93 0x15 0x11 0xB2 0x19 0x06 0x00 0x00
21.0,901564800FA8,12:33.8,12:34.0,118.691,5.729162279,YES,0x93 0x15 0x42 0xA6 0x20 0x01 0x00 0x00
21.0,901564800FA8,12:33.8,12:34.0,169.665,4.007897916,YES,0x93 0x15 0x22 0x9F 0x20 0x01 0x00 0x00
21.0,901564800FA8,12:33.8,12:34.1,221.383,3.071599897,YES,0x93 0x15 0x12 0xA4 0x1E 0x0A 0x00 0x00
21.0,901564800FA8,12:33.8,12:34.1,270.636,2.51259995,YES,0x93 0x15 0x32 0xA8 0x1F 0x0B 0x00 0x00
21.0,901564800FA8,12:33.8,12:34.2,321.908,2.112404786,YES,0x93 0x15 0x13 0xAE 0x23 0x03 0x00 0x00
22.0,901564800FA8,12:38.8,12:38.9,79.935,8.506911866,YES,0x93 0x16 0x11 0xB3 0x1A 0x01 0x00 0x00
22.0,901564800FA8,12:38.8,12:39.0,130.338,5.217204499,YES,0x93 0x16 0x22 0x9E 0x20 0x05 0x00 0x00
22.0,901564800FA8,12:38.8,12:39.0,182.487,3.726292832,YES,0x93 0x16 0x42 0xA6 0x21 0x02 0x00 0x00
22.0,901564800FA8,12:38.8,12:39.1,231.736,2.934373598,YES,0x93 0x16 0x13 0xAE 0x23 0x06 0x00 0x00
22.0,901564800FA8,12:38.8,12:39.1,282.495,2.40712225,YES,0x93 0x16 0x32 0xA8 0x1E 0x07 0x00 0x00
22.0,901564800FA8,12:38.8,12:39.2,333.419,2.039475855,YES,0x93 0x16 0x12 0xA4 0x20 0x06 0x00 0x00
23.0,901564800FA8,12:43.8,12:44.0,191.741,3.546450681,YES,0x93 0x17 0x32 0xA7 0x20 0x06 0x00 0x00
23.0,901564800FA8,12:43.8,12:44.1,242.583,2.803164278,YES,0x93 0x17 0x22 0x9E 0x21 0x05 0x00 0x00
