Packet #,Device ID,TX Timestamp,RX Timestamp,RTT Latency [ms],Data Rate [Kbps],Response,Latest IPC Msg
1,901564800FA8,27:14.9,27:15.0,69.712,9.754418178,YES,0x93 0x01 0x11 0xB2 0x17 0x01 0x00 0x00
1,901564800FA8,27:14.9,27:15.0,119.89,5.671865877,YES,0x93 0x01 0x12 0xA4 0x19 0x02 0x00 0x00
1,901564800FA8,27:14.9,27:15.1,171.265,3.970455143,YES,0x93 0x01 0x23 0x9F 0x1C 0x04 0x00 0x00
1,901564800FA8,27:14.9,27:15.1,222.196,3.060361123,YES,0x93 0x01 0x43 0x9C 0x17 0x01 0x00 0x00
1,901564800FA8,27:14.9,27:15.2,271.627,2.503433017,YES,0x93 0x01 0x33 0x9D 0x23 0x02 0x00 0x00
1,901564800FA8,27:14.9,27:15.2,322.822,2.106423974,YES,0x93 0x01 0x22 0xA4 0x1D 0x02 0x00 0x00
2,901564800FA8,27:19.9,27:20.0,81.222,8.372115929,YES,0x93 0x02 0x11 0xB2 0x17 0x01 0x00 0x00
2,901564800FA8,27:19.9,27:20.0,131.814,5.158784348,YES,0x93 0x02 0x12 0xA4 0x19 0x04 0x00 0x00
2,901564800FA8,27:19.9,27:20.1,182.58,3.724394786,YES,0x93 0x02 0x43 0x9B 0x17 0x03 0x00 0x00
2,901564800FA8,27:19.9,27:20.1,233.7,2.909713308,YES,0x93 0x02 0x23 0x9F 0x1C 0x01 0x00 0x00
2,901564800FA8,27:19.9,27:20.2,283.916,2.3950746,YES,0x93 0x02 0x33 0x9D 0x23 0x04 0x00 0x00
2,901564800FA8,27:19.9,27:20.2,336.979,2.017929901,YES,0x93 0x02 0x22 0xA4 0x1D 0x05 0x00 0x00
3,901564800FA8,27:24.9,27:25.0,93.792,7.250085295,YES,0x93 0x03 0x11 0xB3 0x17 0x01 0x00 0x00
3,901564800FA8,27:24.9,27:25.1,144.331,4.711392563,YES,0x93 0x03 0x12 0xA4 0x19 0x02 0x00 0x00
3,901564800FA8,27:24.9,27:25.1,194.01,3.50497397,YES,0x93 0x03 0x33 0x9C 0x23 0x02 0x00 0x00
3,901564800FA8,27:24.9,27:25.2,245.115,2.774208025,YES,0x93 0x03 0x43 0x9B 0x17 0x01 0x00 0x00
3,901564800FA8,27:24.9,27:25.2,295.609,2.300335917,YES,0x93 0x03 0x22 0xA4 0x1D 0x05 0x00 0x00
3,901564800FA8,27:24.9,27:25.3,347.402,1.957386544,YES,0x93 0x03 0x23 0x9F 0x1B 0x01 0x00 0x00
4,901564800FA8,27:29.9,27:30.0,106.036,6.412916368,YES,0x93 0x04 0x11 0xB2 0x17 0x01 0x00 0x00
4,901564800FA8,27:29.9,27:30.1,157.565,4.315679243,YES,0x93 0x04 0x12 0xA4 0x19 0x01 0x00 0x00
4,901564800FA8,27:29.9,27:30.1,208.405,3.26287757,YES,0x93 0x04 0x43 0x9B 0x17 0x04 0x00 0x00
4,901564800FA8,27:29.9,27:30.2,258.171,2.633913182,YES,0x93 0x04 0x23 0x9E 0x1C 0x06 0x00 0x00
4,901564800FA8,27:29.9,27:30.2,308.948,2.201017647,YES,0x93 0x04 0x33 0x9D 0x23 0x01 0x00 0x00
4,901564800FA8,27:29.9,27:30.3,359.073,1.893765335,YES,0x93 0x04 0x22 0xA4 0x1D 0x06 0x00 0x00
5,901564800FA8,27:34.9,27:35.0,118.119,5.756906171,YES,0x93 0x05 0x11 0xB3 0x17 0x08 0x00 0x00
5,901564800FA8,27:34.9,27:35.1,169.043,4.022645126,YES,0x93 0x05 0x33 0x9D 0x23 0x06 0x00 0x00
5,901564800FA8,27:34.9,27:35.1,219.71,3.094988849,YES,0x93 0x05 0x43 0x9B 0x17 0x01 0x00 0x00
5,901564800FA8,27:34.9,27:35.2,270.356,2.515202178,YES,0x93 0x05 0x23 0x9F 0x1C 0x02 0x00 0x00
5,901564800FA8,27:34.9,27:35.6,720.892,0.94327583,YES,0x93 0x05 0x12 0xA4 0x19 0x01 0x00 0x00
5,901564800FA8,27:34.9,27:35.7,823.09,0.826155098,YES,0x93 0x05 0x22 0xA4 0x1D 0x07 0x00 0x00
6,901564800FA8,27:39.9,27:40.0,131.157,5.184626059,YES,0x93 0x06 0x12 0xA4 0x19 0x06 0x00 0x00
6,901564800FA8,27:39.9,27:40.1,181.545,3.745627806,YES,0x93 0x06 0x43 0x9B 0x17 0x03 0x00 0x00
6,901564800FA8,27:39.9,27:40.1,232.269,2.927639935,YES,0x93 0x06 0x23 0x9F 0x1C 0x04 0x00 0x00
6,901564800FA8,27:39.9,27:40.2,283.405,2.399393095,YES,0x93 0x06 0x33 0x9D 0x23 0x07 0x00 0x00
6,901564800FA8,27:39.9,27:40.3,335.529,2.026650453,YES,0x93 0x06 0x11 0xB2 0x17 0x01 0x00 0x00
6,901564800FA8,27:39.9,27:40.3,384.463,1.768700759,YES,0x93 0x06 0x22 0xA4 0x1D 0x08 0x00 0x00
7,901564800FA8,27:44.9,27:45.3,406.152,1.674250034,YES,0x93 0x07 0x11 0xB2 0x17 0x08 0x00 0x00
7,901564800FA8,27:44.9,27:45.5,544.253,1.249418928,YES,0x93 0x07 0x12 0xA4 0x19 0x01 0x00 0x00
7,901564800FA8,27:44.9,27:45.5,594.704,1.143425973,YES,0x93 0x07 0x23 0x9E 0x1C 0x02 0x00 0x00
7,901564800FA8,27:44.9,27:45.6,645.647,1.053207093,YES,0x93 0x07 0x43 0x9B 0x17 0x01 0x00 0x00
7,901564800FA8,27:44.9,27:46.0,1070.615,0.635148956,YES,0x93 0x07 0x22 0xA4 0x1D 0x07 0x00 0x00
7,901564800FA8,27:44.9,27:46.1,1146.301,0.593212428,YES,0x93 0x07 0x33 0x9B 0x22 0x04 0x00 0x00
8,901564800FA8,27:49.9,27:50.0,55.435,12.26661856,YES,0x93 0x08 0x12 0xA4 0x19 0x04 0x00 0x00
8,901564800FA8,27:49.9,27:50.0,105.214,6.46301823,YES,0x93 0x08 0x23 0x9E 0x1C 0x04 0x00 0x00
8,901564800FA8,27:49.9,27:50.1,157.988,4.304124364,YES,0x93 0x08 0x33 0x9D 0x23 0x06 0x00 0x00
8,901564800FA8,27:49.9,27:50.1,207.01,3.284865465,YES,0x93 0x08 0x43 0x9B 0x17 0x01 0x00 0x00
8,901564800FA8,27:49.9,27:50.2,258.447,2.63110038,YES,0x93 0x08 0x11 0xB3 0x17 0x01 0x00 0x00
8,901564800FA8,27:49.9,27:50.2,308.727,2.20259323,YES,0x93 0x08 0x22 0xA4 0x1D 0x05 0x00 0x00
9,901564800FA8,27:54.9,27:55.0,67.946,10.00794749,YES,0x93 0x09 0x22 0xA4 0x1D 0x07 0x00 0x00
9,901564800FA8,27:54.9,27:55.0,118.811,5.723375782,YES,0x93 0x09 0x12 0xA4 0x19 0x01 0x00 0x00
9,901564800FA8,27:54.9,27:55.1,169.705,4.006953242,YES,0x93 0x09 0x33 0x9D 0x22 0x03 0x00 0x00
9,901564800FA8,27:54.9,27:55.1,220.179,3.088396259,YES,0x93 0x09 0x43 0x9B 0x17 0x05 0x00 0x00
9,901564800FA8,27:54.9,27:55.2,271.772,2.502097346,YES,0x93 0x09 0x11 0xB3 0x17 0x07 0x00 0x00
9,901564800FA8,27:54.9,27:55.2,321.4,2.115743622,YES,0x93 0x09 0x23 0x9F 0x1C 0x01 0x00 0x00
10,901564800FA8,27:59.9,28:00.0,79.851,8.515860791,YES,0x93 0x0A 0x12 0xA4 0x18 0x01 0x00 0x00
10,901564800FA8,27:59.9,28:00.1,131.131,5.185654041,YES,0x93 0x0A 0x22 0xA4 0x1D 0x01 0x00 0x00
10,901564800FA8,27:59.9,28:00.1,182.295,3.730217505,YES,0x93 0x0A 0x23 0x9E 0x1C 0x04 0x00 0x00
10,901564800FA8,27:59.9,28:00.2,232.683,2.922430947,YES,0x93 0x0A 0x11 0xB3 0x17 0x05 0x00 0x00
10,901564800FA8,27:59.9,28:00.6,651.072,1.044431338,YES,0x93 0x0A 0x43 0x9B 0x17 0x01 0x00 0x00
10,901564800FA8,27:59.9,28:00.7,736.749,0.922973767,YES,0x93 0x0A 0x33 0x9D 0x22 0x03 0x00 0x00
11,901564800FA8,28:04.9,28:05.0,94.733,7.178068888,YES,0x93 0x0B 0x22 0xA4 0x1D 0x01 0x00 0x00
11,901564800FA8,28:04.9,28:05.1,144.794,4.696327196,YES,0x93 0x0B 0x12 0xA4 0x19 0x01 0x00 0x00
11,901564800FA8,28:04.9,28:05.1,196.019,3.46905147,YES,0x93 0x0B 0x11 0xB3 0x17 0x06 0x00 0x00
11,901564800FA8,28:04.9,28:05.2,246.724,2.756116146,YES,0x93 0x0B 0x43 0x9B 0x17 0x05 0x00 0x00
